debugJxxED:debugnYBk4,focus,2985,off,1663798201735
debugJxxED:debugnYBk4,focus,1206352,on,1663799408087
debugJxxED:debugnYBk4,focus,8740,off,1663799416827
debugJxxED:debugnYBk4,focus,1329773,on,1663800746600
debugJxxED:debugnYBk4,focus,1204645,off,1663801951245
debugJxxED:debugnYBk4,focus,3160179,on,1663805111424
debugJxxED:debugnYBk4,window_resize,789326,"[1536, 772]",1663805900750
debuglmPq2:debugnDyVQ,initialized,0,,1663855123633
debuglmPq2:debugnDyVQ,window_resize,0,"[1032, 614]",1663855123633
debuglmPq2:debugnDyVQ,window_resize,19392,"[1280, 628]",1663855143025
debuglmPq2:debugnDyVQ,focus,30348,off,1663855173373
debuglmPq2:debugnDyVQ,focus,12517,on,1663855185890
debugvWJ7C:debugkMiTm,initialized,0,,1663855606351
debugvWJ7C:debugkMiTm,window_resize,0,"[1024, 620]",1663855606351
debugvWJ7C:debugkMiTm,window_resize,209598,"[1280, 720]",1663855815949
debugkrs9v:debugCpMbx,initialized,0,,1653175157005
debugkrs9v:debugCpMbx,window_resize,0,"[1024, 767]",1653175157005
debugkrs9v:debugCpMbx,focus,3739,off,1653175160744
debugkrs9v:debugCpMbx,focus,12492,on,1653175173236
debugkrs9v:debugCpMbx,focus,1313,off,1653175174549
debugkrs9v:debugCpMbx,focus,9615,on,1653175184164
debugkrs9v:debugCpMbx,focus,1615,off,1653175185779
debugkrs9v:debugCpMbx,focus,11745,on,1653175197524
debugkrs9v:debugCpMbx,window_resize,4750,"[1440, 871]",1653175202274
debug89UI3:debugTPkwB,initialized,0,,1653088371533
debug89UI3:debugTPkwB,window_resize,0,"[1024, 767]",1653088371533
debug89UI3:debugTPkwB,window_resize,10338,"[1440, 871]",1653088381871
debug89UI3:debugTPkwB,focus,5135,off,1653088387006
debug89UI3:debugTPkwB,focus,7225,on,1653088394231
debug89UI3:debugTPkwB,focus,66951,off,1653088461182
debug89UI3:debugTPkwB,focus,3092,on,1653088464274
debug89UI3:debugTPkwB,focus,4041,off,1653088468315
debug89UI3:debugTPkwB,focus,4198,on,1653088472513
debug89UI3:debugTPkwB,focus,8285,off,1653088480798
debug89UI3:debugTPkwB,window_resize,772,"[1440, 871]",1653088481570
debug89UI3:debugTPkwB,focus,822,on,1653088482392
debugRMROm:debugu4fzH,initialized,0,,1653176693404
debugRMROm:debugu4fzH,window_resize,0,"[1024, 767]",1653176693404
debugRMROm:debugu4fzH,focus,4232,off,1653176697636
debugRMROm:debugu4fzH,focus,14960,on,1653176712596
debugRMROm:debugu4fzH,focus,2286,off,1653176714882
debugRMROm:debugu4fzH,focus,3382,on,1653176718264
debugRMROm:debugu4fzH,window_resize,1515,"[1440, 871]",1653176719779
debugRMROm:debugu4fzH,focus,12552,off,1653176732331
